,0
458,"PML,GATA2"
459,"SMAD1,LEF1"
460,"SP1,SIN3A"
461,"ZNF639,EHMT2"
462,"CEBPB,SPI1"
463,"POLR3A,RNF2"
464,"JUN,SRSF1"
465,"BHLHE40,SIRT6"
466,"FOXM1,TCF7L2"
467,"HLTF,THAP1"
468,"EHMT2,SIRT6"
469,"EHMT2,CBX1"
470,"GTF2B,POLR3A"
471,"KDM1A,SMARCA4"
472,"SETDB1,POLR2A"
473,"PRDM10,KDM1A"
474,"REST,FOXM1"
475,"SMARCA4,ARID2"
476,"NONO,POLR2A"
477,"FOS,RB1"
478,"EGR1,EP300"
479,"GATA1,NFYA"
480,"SMARCB1,ARNT"
481,"DPF2,ARID2"
482,"POLR3A,RAD51"
483,"EP300,ATF2"
484,"SMARCA4,MYC"
485,"XRCC5,SETDB1"
486,"CEBPB,HDAC3"
487,"LEF1,MYBL2"
488,"ZBTB7A,SMARCA4"
489,"NCOR1,CBFA2T3"
490,"SPI1,ATF1"
491,"HES1,MYC"
492,"FOXK2,GATA1"
493,"HDAC1,NKRF"
494,"EP400,FOS"
495,"TCF7L2,REST"
496,"TEAD4,SMARCC2"
497,"RBM14,TCF12"
498,"CTCF,ESRRA"
499,"SAP30,HDAC3"
500,"REST,GTF2B"
501,"CCNT2,EP300"
502,"CBFA2T2,RUNX1"
503,"HDAC2,SIN3B"
504,"NCOR1,ZNF143"
505,"CBX3,HLTF"
506,"EP300,ETS1"
507,"SMARCE1,SMARCB1"
508,"BRD4,TCF12"
509,"HDAC1,DDX20"
510,"HDAC2,ZNF184"
511,"SNIP1,MYC"
512,"SAP30,YY1"
513,"UBTF,RAD21"
514,"NONO,BHLHE40"
515,"SMARCA5,EHMT2"
516,"E2F1,LEF1"
517,"SUZ12,HDAC3"
518,"EP400,EP300"
519,"CBX5,RAD21"
520,"TCF7,CEBPB"
521,"ASH1L,MGA"
522,"PML,HDAC1"
523,"GATA2,CTCF"
524,"SP1,MIER1"
525,"ZNF274,NCOR1"
526,"E2F1,ARID3A"
527,"CUX1,BRD4"
528,"PRPF4,RBM25"
529,"JUN,ELK1"
530,"GABPA,JUN"
531,"SIN3A,NFYB"
532,"XRCC3,CBX3"
533,"SIN3A,RLF"
534,"ZNF407,ASH1L"
535,"SIN3A,GATAD2A"
536,"ZNF24,TCF7L2"
537,"EP400,MBD2"
538,"MEF2A,SMARCA4"
539,"ZBTB2,HDAC2"
540,"MTA2,MTA1"
541,"SMAD1,BACH1"
542,"EHMT2,DNMT1"
543,"EWSR1,TBL1XR1"
544,"E4F1,HDAC3"
545,"EP300,NCOR1"
546,"SIRT6,HCFC1"
547,"HNRNPL,PCBP2"
548,"COPS2,SIN3B"
549,"MTA1,ZEB2"
550,"EP300,FUS"
551,"EP300,MBD2"
552,"EWSR1,NFRKB"
553,"NCOA1,STAT5A"
554,"E2F6,L3MBTL2"
555,"HCFC1,HDAC2"
556,"SIN3B,ARID3A"
557,"NCOA2,NCOA1"
558,"CTCF,ASH1L"
559,"LEF1,HDAC6"
560,"SP1,SREBF1"
561,"RNF2,BMI1"
562,"SMARCB1,NR3C1"
563,"KLF16,SIN3B"
564,"IKZF1,RB1"
565,"CTCF,NR2F2"
566,"EP300,YY1"
567,"TARDBP,HDAC2"
568,"TCF7L2,MGA"
569,"POLR2A,HDAC3"
570,"SAFB,POLR2A"
571,"ZEB2,SMAD1"
572,"XRCC5,BMI1"
573,"SP1,DEAF1"
574,"UBTF,EP400"
575,"TRIP13,HLTF"
576,"BRD4,CREM"
577,"FOXM1,MYC"
578,"MTA1,JUN"
579,"ASH1L,ZBTB7A"
580,"SMARCA4,ZNF143"
581,"CDC5L,E2F8"
582,"H2AFZ,DPF2"
583,"JUN,GATAD2A"
584,"ZNF639,BCOR"
585,"FUS,PTBP1"
586,"ZBTB5,EP400"
587,"MLLT1,KAT8"
588,"RB1,PML"
589,"SIN3B,UBTF"
590,"XRCC5,JUN"
591,"NFE2,MAFF"
592,"ASH1L,ZBTB8A"
593,"SMARCA5,SMARCB1"
594,"SP1,RB1"
595,"BRD4,FOXK2"
596,"FOXM1,NR2F1"
597,"MEF2A,ARID2"
598,"HNRNPK,HNRNPL"
599,"EP300,ESRRA"
600,"CBX5,TBP"
601,"FOXK2,MTA1"
602,"BACH1,ATF7"
603,"RCOR1,PHF21A"
604,"PML,TCF7L2"
605,"NFXL1,GATA1"
606,"POLR2B,POLR2G"
607,"RBBP5,PYGO2"
608,"CBX3,RAD51"
609,"NCOR1,EGR1"
610,"MYC,TAF1"
611,"SMARCC2,YY1"
612,"TRIM28,NCOR1"
613,"FOXK2,NR2F1"
614,"NR2C1,SETDB1"
615,"TCF7L2,SIRT6"
616,"GTF2B,IKZF1"
617,"MCM2,SIN3B"
618,"PHF21A,SUPT5H"
619,"CDC5L,TRIP13"
620,"RBFOX2,RBM22"
621,"SUZ12,HDAC6"
622,"ZNF282,HDAC6"
623,"HDAC1,NR3C1"
624,"NCOA6,XRCC5"
625,"HDAC3,ZNF639"
626,"HDAC3,CEBPB"
627,"SKIL,PML"
628,"MLLT1,BMI1"
629,"SETDB1,SMARCA4"
630,"HDAC3,MTA2"
631,"CREM,CREB3L1"
632,"EP300,UBTF"
633,"MCM3,HNRNPK"
634,"SP1,HCFC1"
635,"ELF4,JUN"
636,"PHF21A,FOS"
637,"SMARCE1,SIN3A"
638,"BRD4,TAF9B"
639,"HDAC2,ATF3"
640,"JUN,DDX20"
641,"HDAC2,REST"
642,"SOX6,YY1"
643,"NFYB,RBBP5"
644,"E2F7,EP300"
645,"TCF7L2,TCF12"
646,"YY1,SIN3A"
647,"SMARCB1,SP1"
648,"MYBL2,E2F8"
649,"MEF2A,HDAC6"
650,"SMC3,CDC5L"
651,"ZBTB7A,BRD4"
652,"CUX1,SMARCC2"
653,"ETV6,RUNX1"
654,"E2F6,EP300"
655,"CEBPB,SMARCB1"
656,"PTBP1,POLR2A"
657,"ZNF280A,HDAC3"
658,"EP400,SMARCE1"
659,"E2F6,LEF1"
660,"NCOR1,CTCF"
661,"MLLT1,EP400"
662,"JUN,TAF9B"
663,"BRD4,NR2F1"
664,"ESRRA,EP300"
665,"HDAC1,PML"
666,"RBM25,RBM22"
667,"MYBL2,ZNF282"
668,"JUN,SRSF3"
669,"SIN3B,TCF7L2"
670,"MLLT1,BCOR"
671,"BRD4,GTF2B"
672,"SMARCA5,ARID2"
673,"TRIP13,UBTF"
674,"PRPF4,FOXK2"
675,"ZC3H11A,TARDBP"
676,"DACH1,JUN"
677,"CTBP1,GATA1"
678,"EHMT2,ZBTB8A"
679,"NCOR1,ZNF184"
680,"HNRNPL,ASH1L"
681,"MBD2,HDAC1"
682,"FOXM1,BRD4"
683,"MYC,TRIP13"
684,"SMC3,SUPT5H"
685,"SMARCA5,NFYA"
686,"ZNF407,HDGF"
687,"EHMT2,ZNF24"
688,"SMARCA4,TAF1"
689,"NR3C1,BRD4"
690,"GATA1,BHLHE40"
691,"HLTF,HDAC3"
692,"CBX1,CBX5"
693,"EP300,RAD21"
694,"ZSCAN29,ESRRA"
695,"KDM1A,CTBP1"
696,"NR2F2,ZBTB7A"
697,"HDAC6,ZBTB2"
698,"NR2F1,IKZF1"
699,"CBX1,HLTF"
700,"BCLAF1,MTA3"
701,"NR2F2,ZBTB33"
702,"DPF2,SMARCE1"
703,"BRD4,FOXA1"
704,"TBL1XR1,EP300"
705,"JUN,ZNF592"
706,"KDM1A,TBL1XR1"
707,"MEF2A,FOXK2"
708,"ZBTB33,FOXM1"
709,"EP400,PHF20"
710,"E2F6,BRD4"
711,"REST,HDAC6"
712,"HDAC1,ZFP91"
713,"EP300,BRD4"
714,"SETDB1,HDAC1"
715,"PHB2,MEF2A"
716,"YY1,NR3C1"
717,"USF1,TAF7"
718,"EP300,SP1"
719,"KAT8,NFYB"
720,"CBX5,HDAC2"
721,"ZBTB40,SETDB1"
722,"PHF21A,RAD51"
723,"CDC5L,SMARCB1"
724,"THRA,TRIM24"
725,"HDAC1,ZNF282"
726,"KDM1A,MXI1"
727,"E2F6,ZBED1"
728,"MXI1,SMAD1"
729,"ATF2,SUZ12"
730,"HDAC1,ELK1"
731,"SKIL,SIN3A"
732,"NCOR1,ZBTB8A"
733,"FOXK2,MTA2"
734,"SMARCC2,JUN"
735,"CBFA2T2,NCOR1"
736,"SMARCA4,REST"
737,"RUNX1,CTBP1"
738,"RAD51,SMARCA5"
739,"FOXA1,HCFC1"
740,"BRD4,TBL1XR1"
741,"SMARCA5,EP300"
742,"NCOR1,DACH1"
743,"HDAC6,IKZF1"
744,"ATF2,ATF4"
745,"SIN3A,MTA1"
746,"PML,EHMT2"
747,"NCOA6,FOS"
